#      s        <E>_total      <E>_postselect       <N>_photon        Var(E)_total   Var(E)_postselect   Var(N)_photon
  0.000000     3.0144000000               nan      1.0000000000       0.0227418664               nan      0.0000000000
  0.050000    -0.4000000000               nan      1.0000000000       0.0146757850               nan      0.0000000000
  0.100000     2.1260000000      3.0000000000      0.9996500000       0.0208349656      0.6123724357      0.0001322644
  0.150000     0.7832000000      4.4444444444      0.9983500000       0.0164645347      0.3249986810      0.0002869911
  0.200000     0.8620000000      3.8333333333      0.9828000000       0.0202984165      0.1087294346      0.0009193519
  0.250000     1.8946000000      3.9929660023      0.9153500000       0.0223261693      0.0484214507      0.0019683036
  0.300000     0.1618000000      4.0026143791      0.9244500000       0.0211903932      0.0511309556      0.0018687188
  0.350000     1.4826000000      4.0584795322      0.6129500000       0.0243099653      0.0225406945      0.0034441421
  0.400000     2.4830000000      4.0267809320      0.8151000000       0.0230775648      0.0327268269      0.0027451046
  0.450000    -0.6276000000      3.8584070796      0.9772000000       0.0190901587      0.0938360395      0.0010554658
  0.500000     2.6072000000      3.9553752535      0.4085500000       0.0240093082      0.0183820009      0.0034758948
  0.550000     3.7508000000      4.0514096186      0.7539000000       0.0203265936      0.0287860994      0.0030457740
  0.600000     0.5464000000      3.8225806452      0.9738000000       0.0223610068      0.0894486063      0.0011294592
  0.650000     0.7962000000      4.0658040665      0.7325000000       0.0234481070      0.0271766652      0.0031300459
  0.700000     3.0388000000      4.0033222591      0.3978500000       0.0235773393      0.0182270403      0.0034609636
  0.750000     3.5410000000      3.9958672663      0.1731000000       0.0194985377      0.0155916947      0.0026752233
  0.800000     4.0008000000      3.9907370117      0.0071000000       0.0142821545      0.0141903133      0.0005936998
  0.850000     3.9704000000      3.9844676068      0.0225500000       0.0143093871      0.0142954982      0.0010497975
  0.900000     3.9608000000      3.9962871287      0.0335000000       0.0154293901      0.0143621000      0.0012723551
  0.950000     3.8944000000      3.9962832955      0.0309000000       0.0148400571      0.0143695119      0.0012236256
  1.000000     4.0058000000      4.0076108197      0.0285000000       0.0147141639      0.0143420658      0.0011766000
