#      s        <E>_total      <E>_postselect       <N>_photon        Var(E)_total   Var(E)_postselect   Var(N)_photon
  0.000000     3.0408000000               nan      1.0000000000       0.0226945393               nan      0.0000000000
  0.050000    -0.3676000000               nan      1.0000000000       0.0145412580               nan      0.0000000000
  0.100000     2.1978000000      6.0000000000      0.9998000000       0.0206873185      0.0000000000      0.0000999900
  0.150000     0.8136000000      5.1428571429      0.9988500000       0.0166302657      0.3101772276      0.0002396537
  0.200000     0.8386000000      3.8650306748      0.9831500000       0.0203479449      0.1105172346      0.0009101120
  0.250000     1.8602000000      4.0301274623      0.9144500000       0.0222724715      0.0481349273      0.0019777664
  0.300000     0.1398000000      3.9919678715      0.9261500000       0.0211739401      0.0517429511      0.0018492725
  0.350000     1.4922000000      3.9879169950      0.6158500000       0.0243164977      0.0229200538      0.0034393224
  0.400000     2.4722000000      3.9903691814      0.8130500000       0.0230101090      0.0327118655      0.0027568070
  0.450000    -0.6318000000      3.7777777778      0.9776000000       0.0190376762      0.0936971159      0.0010463804
  0.500000     2.5870000000      3.9590177815      0.4086000000       0.0240038969      0.0183998317      0.0034759606
  0.550000     3.7498000000      3.9819111286      0.7489500000       0.0203166697      0.0280429730      0.0030661368
  0.600000     0.4928000000      3.8666666667      0.9766500000       0.0222117167      0.0910840068      0.0010678197
  0.650000     0.7890000000      4.0038565368      0.7377500000       0.0234413224      0.0277723693      0.0031102648
  0.700000     3.0044000000      4.0138476756      0.3972500000       0.0236288674      0.0181573884      0.0034600754
  0.750000     3.5526000000      4.0002425124      0.1736500000       0.0195203159      0.0155728104      0.0026785787
  0.800000     4.0080000000      3.9504032258      0.0067000000       0.0142164195      0.0141946793      0.0005768496
  0.850000     3.9646000000      3.9789128877      0.0242000000       0.0143198066      0.0143075675      0.0010866085
  0.900000     3.9764000000      3.9863608184      0.0321500000       0.0152546150      0.0143751402      0.0012473247
  0.950000     3.8886000000      4.0088852154      0.0329000000       0.0148972898      0.0143745900      0.0012613007
  1.000000     4.0214000000      4.0336811654      0.0317000000       0.0146358233      0.0143726934      0.0012388525
