#      s        <E>_total      <E>_postselect       <N>_photon        Var(E)_total   Var(E)_postselect   Var(N)_photon
  0.000000    -1.3780000000               nan      1.0000000000       0.0324122816               nan      0.0000000000
  0.025000    -1.2760000000               nan      1.0000000000       0.0322841137               nan      0.0000000000
  0.050000    -1.1040000000               nan      1.0000000000       0.0370426781               nan      0.0000000000
  0.075000    -1.1660000000               nan      1.0000000000       0.0349648395               nan      0.0000000000
  0.100000    -1.4100000000               nan      1.0000000000       0.0307586086               nan      0.0000000000
  0.125000    -1.3280000000      0.0000000000      0.9985000000       0.0328651791      0.0000000000      0.0008653756
  0.150000    -1.1600000000      0.0000000000      0.9990000000       0.0350263901      0.0000000000      0.0007067531
  0.175000    -1.0320000000     -0.4761904762      0.9935000000       0.0382572346      0.5367400107      0.0017969071
  0.200000    -1.2340000000     -0.7450980392      0.9855000000       0.0336710558      0.3506052822      0.0026729899
  0.225000    -1.4180000000     -1.3406593407      0.9730000000       0.0315340451      0.1993883392      0.0036242930
  0.250000    -1.2600000000     -0.9361393324      0.9475000000       0.0327261363      0.1699259715      0.0049871710
  0.275000    -0.9760000000     -0.1503712871      0.9015000000       0.0382512745      0.1323161946      0.0066632481
  0.300000    -1.0180000000      0.0841934831      0.8275000000       0.0384322261      0.0935417557      0.0084481877
  0.325000    -1.1160000000      0.1492949471      0.8155000000       0.0370441898      0.0869399729      0.0086735157
  0.350000    -0.8740000000      0.6474493361      0.7860000000       0.0377441386      0.0846544809      0.0091707143
  0.375000    -0.4560000000      0.9010756480      0.6805000000       0.0401280949      0.0644025878      0.0104264028
  0.400000    -0.2080000000      0.9230763229      0.4935000000       0.0442158343      0.0537183731      0.0111793951
  0.425000    -0.2000000000      0.8604353876      0.4850000000       0.0434948273      0.0543268462      0.0111753076
  0.450000     0.1380000000      0.9606445916      0.5235000000       0.0393770999      0.0512987005      0.0111679844
  0.475000     0.2500000000      0.9713624308      0.3960000000       0.0392900496      0.0437748782      0.0109358127
  0.500000     0.0740000000      1.1185146685      0.4115000000       0.0430411431      0.0426428597      0.0110038118
  0.525000    -0.0480000000      1.1948005810      0.5625000000       0.0413158565      0.0509567223      0.0110926496
  0.550000     0.1580000000      1.1217115011      0.5070000000       0.0406162037      0.0494461126      0.0111792442
  0.575000     0.1840000000      1.0078285785      0.3285000000       0.0437135219      0.0452395286      0.0105020891
  0.600000     0.3500000000      1.1152408372      0.3745000000       0.0421190218      0.0454904605      0.0108224246
  0.625000     0.6400000000      1.2486013815      0.3285000000       0.0391918359      0.0411087363      0.0105020891
  0.650000     0.8540000000      1.2830968249      0.1865000000       0.0400257417      0.0370768160      0.0087097001
  0.675000     0.7280000000      1.3903490435      0.2455000000       0.0416110562      0.0369972634      0.0096236622
  0.700000     0.6600000000      1.2028462261      0.2970000000       0.0411377199      0.0426119033      0.0102174116
  0.725000     0.8040000000      1.2325664348      0.2005000000       0.0404247449      0.0386984855      0.0089526463
  0.750000     0.9120000000      1.2877790557      0.1505000000       0.0397567604      0.0367327449      0.0079953033
  0.775000     0.9360000000      1.3077063697      0.1730000000       0.0393160527      0.0372101853      0.0084578662
  0.800000     1.1640000000      1.2880985882      0.0765000000       0.0363535968      0.0353937009      0.0059433892
  0.825000     1.1980000000      1.2377400370      0.0555000000       0.0358043014      0.0361449335      0.0051195581
  0.850000     1.2500000000      1.2940066946      0.0495000000       0.0348793922      0.0347951549      0.0048502448
  0.875000     1.2560000000      1.3151764213      0.0455000000       0.0347733231      0.0344089170      0.0046599222
  0.900000     1.2280000000      1.3069330535      0.0570000000       0.0352851243      0.0347599721      0.0051841586
  0.925000     1.2440000000      1.2840137867      0.0510000000       0.0350011428      0.0351029242      0.0049192987
  0.950000     1.2960000000      1.3460897539      0.0525000000       0.0340235213      0.0338589007      0.0049871710
  0.975000     1.2580000000      1.3220630295      0.0565000000       0.0347352847      0.0343741851      0.0051627391
  1.000000     1.2700000000      1.3401479441      0.0480000000       0.0345081440      0.0340117125      0.0047799582
